num_in_series,success_rate,norm_rating,norm_num_awards,norm_num_ratings
1,0.2104808058061401,0.790785488293609,0.022260406109650632,0.006616922711650139
2,0.2103578064773375,0.8156993524514338,0.01046907786376661,0.004793717730382913
3,0.21247976471809812,0.8223443895553987,0.011170972683615334,0.005232723949763015
4,0.2128959456623873,0.8268313725490195,0.010266220309261916,0.00421996948200566
5,0.21376099574783378,0.8309980732177265,0.00977489543681564,0.00449611889997743
6,0.21491309508806733,0.8349637883008357,0.010598546096881581,0.0034914998576704138
7,0.21418236831428042,0.8293692307692307,0.011163227016885553,0.005033788454119718
8,0.2145134404299788,0.8311512195121951,0.011540749553837002,0.0038210431000461355
9,0.21263302295617167,0.8292229299363056,0.009010408575423333,0.003288344737534306
10,0.21305923598904838,0.8304640000000001,0.008975609756097562,0.0038217244439983818
11,0.21251914033247174,0.8277657657657658,0.00944847286310701,0.003413849837907121
12,0.21348824223285034,0.8293647058823529,0.010616929698708751,0.0033544036516309265
13,0.21076185715584586,0.8232222222222222,0.008130081300813009,0.003565043799535189
14,0.21205735632096034,0.8282978723404255,0.008303061754021795,0.003325429435372338
15,0.21175432234799038,0.8293962264150944,0.007363092498849517,0.0028948779791681694
16,0.21036451341529244,0.8210555555555555,0.008807588075880758,0.002787321953852711
17,0.20982534166835023,0.8278857142857143,0.004181184668989548,0.0030532830497075774
18,0.20793448637256423,0.8168148148148148,0.006323396567299007,0.0022763375408440785
19,0.21014823116399675,0.8223199999999999,0.007804878048780488,0.0026631685584260394
20,0.20952937004558578,0.8265454545454546,0.004434589800443459,0.002702846036001641
