bookId,title,new_isbn,new_author
2767052-the-hunger-games,The Hunger Games,9862131365,Suzanne Collins
2.Harry_Potter_and_the_Order_of_the_Phoenix,Harry Potter and the Order of the Phoenix,9789771438793,J. K. Rowling
41865.Twilight,Twilight,3551581495,Stephenie Meyer
19063.The_Book_Thief,The Book Thief,9788598078175,Markus Zusak
170448.Animal_Farm,Animal Farm,9798715029577,George Orwell
30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,Book not found,Author not found
2767052-the-hunger-games,The Hunger Games,9862131365,Suzanne Collins
2.Harry_Potter_and_the_Order_of_the_Phoenix,Harry Potter and the Order of the Phoenix,9789771438793,J. K. Rowling
41865.Twilight,Twilight,3551581495,Stephenie Meyer
19063.The_Book_Thief,The Book Thief,9788598078175,Markus Zusak
170448.Animal_Farm,Animal Farm,9798715029577,George Orwell
30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,Book not found,Author not found
18405.Gone_with_the_Wind,Gone with the Wind,9788804496014,Margaret Mitchell
370493.The_Giving_Tree,The Giving Tree,0590396218,Shel Silverstein
2767052-the-hunger-games,The Hunger Games,9862131365,Suzanne Collins
2.Harry_Potter_and_the_Order_of_the_Phoenix,Harry Potter and the Order of the Phoenix,9789771438793,J. K. Rowling
41865.Twilight,Twilight,3551581495,Stephenie Meyer
19063.The_Book_Thief,The Book Thief,9788598078175,Markus Zusak
170448.Animal_Farm,Animal Farm,9798715029577,George Orwell
30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,Book not found,Author not found
18405.Gone_with_the_Wind,Gone with the Wind,9788804496014,Margaret Mitchell
370493.The_Giving_Tree,The Giving Tree,0590396218,Shel Silverstein
6185.Wuthering_Heights,Wuthering Heights,9798752243523,Emily Brontë
929.Memoirs_of_a_Geisha,Memoirs of a Geisha,9780099282853,Arthur Golden
24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,Alice's Adventures in Wonderland & Through the Looking-Glass,9780553211733,Lewis Carroll
10210.Jane_Eyre,Jane Eyre,9798666957509,"Brontë, Charlotte"
13079982-fahrenheit-451,Fahrenheit 451,9788445074879,Ray Bradbury
13335037-divergent,Divergent,0007536712,Veronica Roth
7624.Lord_of_the_Flies,Lord of the Flies,9780807218181,William Golding
18135.Romeo_and_Juliet,Romeo and Juliet,1505306566,William Shakespeare
18144590-the-alchemist,The Alchemist,0062024329,Paulo Coelho
7144.Crime_and_Punishment,Crime and Punishment,0679405577,Fyodor Dostoyevsky
256683.City_of_Bones,City of Bones,0754017567,Michael Connelly
375802.Ender_s_Game,Ender's Game,8466616896,Orson Scott Card
8127.Anne_of_Green_Gables,Anne of Green Gables,0140351485,Lucy Maud Montgomery
24178.Charlotte_s_Web,Charlotte's Web,9753633920,E. B. White
890.Of_Mice_and_Men,Of Mice and Men,9780140860092,John Steinbeck
18619684-the-time-traveler-s-wife,The Time Traveler's Wife,ISBN not found,Audrey Niffenegger
17245.Dracula,Dracula,9798747716971,Bram Stoker
5129.Brave_New_World,Brave New World,9863840033,Aldous Huxley
5107.The_Catcher_in_the_Rye,The Catcher in the Rye,9787811265156,J. D. Salinger
21787.The_Princess_Bride,The Princess Bride,9780747545187,William Goldman
28187.The_Lightning_Thief,The Lightning Thief,9780141381473,Rick Riordan
2998.The_Secret_Garden,The Secret Garden,9781577595397,Frances Hodgson Burnett
128029.A_Thousand_Splendid_Suns,A Thousand Splendid Suns,1408803739,Khaled Hosseini
33574273-a-wrinkle-in-time,A Wrinkle in Time,9788434586598,Madeleine L'Engle
13496.A_Game_of_Thrones,A Game of Thrones,9788580442786,George R. R. Martin
2956.The_Adventures_of_Huckleberry_Finn,The Adventures of Huckleberry Finn,9789380028354,Roland Mann
12232938-the-lovely-bones,The Lovely Bones,0330413163,Alice Sebold
19543.Where_the_Wild_Things_Are,Where the Wild Things Are,9780613809399,Maurice Sendak
23772.Green_Eggs_and_Ham,Green Eggs and Ham,9780007661428,Dr. Seuss
1381.The_Odyssey,The Odyssey,9781171558637,Όμηρος
4214.Life_of_Pi,Life of Pi,9785699369348,Yann Martel
1953.A_Tale_of_Two_Cities,A Tale of Two Cities,1790698863,Charles Dickens
43641.Water_for_Elephants,Water for Elephants,9781616200718,Sara Gruen
7604.Lolita,Lolita,9782070246724,Vladimir Nabokov
4981.Slaughterhouse_Five,Slaughterhouse-Five,0440580293,Kurt Vonnegut
35031085-frankenstein,Frankenstein: The 1818 Text,1624669131,Mary Wollstonecraft Shelley
3636.The_Giver,The Giver,8364297295,Lois Lowry
168668.Catch_22,Catch-22,7805676291,Joseph Heller
44767458-dune,Dune,9781556909337,Frank Herbert
149267.The_Stand,The Stand,0307947300,Stephen King
76620.Watership_Down,Watership Down,3548035086,Richard Adams
2623.Great_Expectations,Great Expectations,9780764587238,Charles Dickens
1934.Little_Women,Little Women,950768235X,Louisa May Alcott
136251.Harry_Potter_and_the_Deathly_Hallows,Harry Potter and the Deathly Hallows,9781408855959,J. K. Rowling
10964.Outlander,Outlander,9780788712982,Diana Gabaldon
10917.My_Sister_s_Keeper,My Sister's Keeper,0743454537,Jodi Picoult
39988.Matilda,Matilda,9780582401983,Roald Dahl
3263607-the-fellowship-of-the-ring,The Fellowship of the Ring,9781484482353,J.R.R. Tolkien
17899948-rebecca,Rebecca,9781572705029,Daphne du Maurier
40961427-1984,1984,9786124502613,Peru
52892857-the-color-purple,The Color Purple,9782290021231,Alice Walker
14891.A_Tree_Grows_in_Brooklyn,A Tree Grows in Brooklyn,0816133018,Betty Smith
41817486-a-clockwork-orange,A Clockwork Orange,1856132668,Anthony Burgess
6288.The_Road,The Road,9781429551007,Jack Kerouac
4934.The_Brothers_Karamazov,The Brothers Karamazov,9783538050501,Fyodor Dostoyevsky
252577.Angela_s_Ashes,Angela's Ashes,9780684874357,Frank McCourt
345627.Vampire_Academy,Vampire Academy,9781440677939,Richelle Mead
7244.The_Poisonwood_Bible,The Poisonwood Bible,9780060185794,Barbara Kingsolver
119322.The_Golden_Compass,The Golden Compass,8467920475,Stéphane Melchior-Durand
3836.Don_Quixote,Don Quixote,1502965232,Miguel de Cervantes Saavedra
662.Atlas_Shrugged,Atlas Shrugged,1433256134,Ayn Rand
5.Harry_Potter_and_the_Prisoner_of_Azkaban,Harry Potter and the Prisoner of Azkaban,9788418174087,J. K. Rowling
2165.The_Old_Man_and_the_Sea,The Old Man and the Sea,2070231704,Ernest Hemingway
33648131-the-notebook,The Notebook,3550101635,Nicholas Sparks
99107.Winnie_the_Pooh,Winnie-the-Pooh,9788877822789,A. A. Milne
23919.The_Complete_Stories_and_Poems,The Complete Stories and Poems,9780394604084,Edgar Allan Poe
43763.Interview_with_the_Vampire,Interview with the Vampire,9780345477699,Anne Rice
4473.A_Prayer_for_Owen_Meany,A Prayer for Owen Meany,9780345915559,John Irving
153747.Moby_Dick_or_the_Whale,"Moby-Dick or, the Whale",9798712505494,Herman Herman Melville
4989.The_Red_Tent,The Red Tent,9780330487962,Anita Diamant
37435.The_Secret_Life_of_Bees,The Secret Life of Bees,1429580534,Sue Monk Kidd
7171637-clockwork-angel,Clockwork Angel,1770903364,Kevin J. Anderson
16299.And_Then_There_Were_None,And Then There Were None,9789507428128,Agatha Christie
2187.Middlesex,Middlesex,9780747564485,Jeffrey Eugenides
117833.The_Master_and_Margarita,The Master and Margarita,9781411683051,Mikhail Afanasyevich Bulgakov
186074.The_Name_of_the_Wind,The Name of the Wind,0756405890,Patrick Rothfuss
11588.The_Shining,The Shining,9780307743657,Stephen King
24583.The_Adventures_of_Tom_Sawyer,The Adventures of Tom Sawyer,9798642873366,Mark Twain
113436.Eragon,Eragon,9783570128039,Christopher Paolini
6310.Charlie_and_the_Chocolate_Factory,Charlie and the Chocolate Factory,9788420460345,Roald Dahl
70401.On_the_Road,On the Road,9781429551007,Jack Kerouac
1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,The Curious Incident of the Dog in the Night-Time,9781400032716,Mark Haddon
4948.The_Very_Hungry_Caterpillar,The Very Hungry Caterpillar,3836950553,Eric Carle
6900.Tuesdays_with_Morrie,Tuesdays with Morrie,9783442308200,Mitch Albom
9717.The_Unbearable_Lightness_of_Being,The Unbearable Lightness of Being,074757894X,Malcolm Pryce
119073.The_Name_of_the_Rose,The Name of the Rose,1496712145,Christine E. Blum
10365.Where_the_Red_Fern_Grows,Where the Red Fern Grows,1484427343,Wilson Rawls
15881.Harry_Potter_and_the_Chamber_of_Secrets,Harry Potter and the Chamber of Secrets,1408898128,J. K. Rowling
12296.The_Scarlet_Letter,The Scarlet Letter,9780760748695,Nathaniel Hawthorne
168642.In_Cold_Blood,In Cold Blood,0679745580,Truman Capote
36236124-fight-club,Fight Club,9780805062977,Chuck Palahniuk
3431.The_Five_People_You_Meet_in_Heaven,The Five People You Meet in Heaven,9781408263945,Mitch Albom
6339664-hush-hush,"Hush, Hush",9781609771744,William Le Queux
233093.The_Cat_in_the_Hat,The Cat in the Hat,9573211238,Dr. Seuss
7126.The_Count_of_Monte_Cristo,The Count of Monte Cristo,1409077705,Jim Weiss
256008.Lonesome_Dove,Lonesome Dove,5237003702,Larry McMurtry
343.Perfume,Perfume: The Story of a Murderer,ISBN not found,Author not found
38709.Holes,Holes,3125781701,Louis Sachar
472331.Watchmen,Watchmen,9781401248192,Alan Moore
830502.It,It,9798538835997,Mark Twain
4556058-the-last-olympian,The Last Olympian,9788498386301,Rick Riordan
6656.The_Divine_Comedy,The Divine Comedy,8860871255,Dante Alighieri
34268.Peter_Pan,Peter Pan,9780887762062,J. M. Barrie
355697.All_Quiet_on_the_Western_Front,All Quiet on the Western Front,0203977734,Erich Maria Remarque
5907.The_Hobbit_or_There_and_Back_Again,"The Hobbit, or There and Back Again",ISBN not found,Author not found
1423.The_Compleat_Works_of_Wllm_Shkspr,The Compleat Works of Wllm Shkspr (abridged),Book not found,Author not found
9712.Love_in_the_Time_of_Cholera,Love in the Time of Cholera,9781557047908,Mike Newell
2802316-shadow-kiss,Shadow Kiss,9780345423399,Laurell K. Hamilton
11735983-insurgent,Insurgent,9786071670571,John Reed
113946.How_the_Grinch_Stole_Christmas_,How the Grinch Stole Christmas!,0007529538,Dr. Seuss
13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy,The Ultimate Hitchhiker's Guide to the Galaxy,9788530601492,Douglas Adams
6867.Atonement,Atonement,9780099429791,Ian McEwan
92303.The_Importance_of_Being_Earnest,The Importance of Being Earnest,9781097287468,Oscar Wilde
19501.Eat_Pray_Love,"Eat, Pray, Love",0747582882,Elizabeth Gilbert
37415.Their_Eyes_Were_Watching_God,Their Eyes Were Watching God,0065023161,Zora Neale Hurston
236093.The_Wonderful_Wizard_of_Oz,The Wonderful Wizard of Oz,9781691088010,L. Frank Baum
32929.Goodnight_Moon,Goodnight Moon,9780694700219,Margaret Wise Brown
7784.The_Lorax,The Lorax,9780785718154,Dr. Seuss
5996153-blood-promise,Blood Promise,0356502007,Brian McClellan
1078.The_Good_Earth,The Good Earth,1433204088,Pearl S. Buck
4900.Heart_of_Darkness,Heart of Darkness,0312142048,Joseph Conrad
1622.A_Midsummer_Night_s_Dream,A Midsummer Night's Dream,0521094909,William Shakespeare
18335634-clockwork-princess,Clockwork Princess,9781484442562,Cassandra Clare
2547.The_Prophet,The Prophet,1793880948,Kahlil Gibran
40605251-the-mists-of-avalon,The Mists of Avalon,1570422052,Marion Zimmer Bradley
561456.The_Titan_s_Curse,The Titan's Curse,8498386284,Rick Riordan
28186.The_Sea_of_Monsters,The Sea of Monsters,8498386276,Rick Riordan
7763.The_Joy_Luck_Club,The Joy Luck Club,9781587248832,Amy Tan
13023.Alice_in_Wonderland,Alice in Wonderland,9781953373311,Lewis Carroll
1852.The_Call_of_the_Wild,The Call of the Wild,1543630960,Jack London
71728.Jonathan_Livingston_Seagull,Jonathan Livingston Seagull,9575834186,Richard Bach
2175.Madame_Bovary,Madame Bovary,9798586955029,Gustave Flaubert
378.The_Phantom_Tollbooth,The Phantom Tollbooth,9780590409179,Norton Juster
40940121-bridge-to-terabithia,Bridge to Terabithia,1557360103,Katherine Paterson
7938275-the-hunger-games-trilogy-boxset,The Hunger Games Trilogy Boxset,Book not found,Author not found
191139.Oh_the_Places_You_ll_Go_,"Oh, the Places You'll Go!",9780001712331,Dr. Seuss
5060378-the-girl-who-played-with-fire,The Girl Who Played with Fire,1849163006,Stieg Larsson
6186357-the-maze-runner,The Maze Runner,9780385907026,James Dashner
27712.The_Neverending_Story,The Neverending Story,9579032173,Michael Ende
295.Treasure_Island,Treasure Island,1717506011,Robert Louis Stevenson
10818853-fifty-shades-of-grey,Fifty Shades of Grey,895276644X,E. L. James
40611463-the-clan-of-the-cave-bear,The Clan of the Cave Bear,8495354608,Jean M. Auel
62291.A_Storm_of_Swords,A Storm of Swords,0006479901,George R. R. Martin
2696.The_Canterbury_Tales,The Canterbury Tales,9781857150742,Geoffrey Chaucer
7069.The_World_According_to_Garp,The World According to Garp,0676973825,John Irving
10799.A_Farewell_to_Arms,A Farewell to Arms,3499226022,Ernest Hemingway
6350972-tote-m-dchen-l-gen-nicht,Tote Mädchen lügen nicht,9783570160206,Imported by Yulo inc.
37442.Wicked,Wicked: The Life and Times of the Wicked Witch of the West,Book not found,Author not found
402093.Sh_gun,Shōgun,9782253032533,James Clavell
4588.Extremely_Loud_Incredibly_Close,Extremely Loud & Incredibly Close,9780618329700,Jonathan Safran Foer
853510.Murder_on_the_Orient_Express,Murder on the Orient Express,9504912133,Agatha Christie
18116.His_Dark_Materials,His Dark Materials,0345448898,Philip Pullman
3008.A_Little_Princess,A Little Princess,9780140371130,Frances Hodgson Burnett
375013.Schindler_s_List,Schindler's List,0140067841,Thomas Keneally
40604658-jurassic-park,Jurassic Park,9780582503847,Michael Crichton
6527740-last-sacrifice,Last Sacrifice,9780141331881,Richelle Mead
9361589-the-night-circus,The Night Circus,9780307744432,Erin Morgenstern
6487308-fallen,Fallen,9780006176046,V. C. Andrews
7332.The_Silmarillion,The Silmarillion,8595084378,J.R.R. Tolkien
514811.The_Secret_Magdalene,The Secret Magdalene,0975925539,Ki Longfellow
6149.Beloved,Beloved,9780140283402,Toni Morrison
310612.A_Confederacy_of_Dunces,A Confederacy of Dunces,024128466X,John Kennedy Toole
10507293-the-selection,The Selection,9780393092196,Charles Darwin
144974.The_Velveteen_Rabbit,The Velveteen Rabbit,9780894711275,Margery Williams Bianco
6148028-catching-fire,Catching Fire,9781407157870,Suzanne Collins
7736182-the-lost-hero,The Lost Hero,9788580570083,Rick Riordan
6479259-spirit-bound,Spirit Bound,9780748124992,Christine Feehan
10025305-clockwork-prince,Clockwork Prince,1464038910,Heather Lind
1375.The_Iliad_The_Odyssey,The Iliad/The Odyssey,1387224387,Homer
17250.The_Crucible,The Crucible,9789994644001,Arthur Miller
135479.Cat_s_Cradle,Cat's Cradle,0440111498,Kurt Vonnegut
9777.The_God_of_Small_Things,The God of Small Things,9781538407677,Arundhati Roy
5659.The_Wind_in_the_Willows,The Wind in the Willows,0451521641,Kenneth Grahame
8130077-the-screwtape-letters,The Screwtape Letters,9780062023179,C. S. Lewis
2865.Girl_with_a_Pearl_Earring,Girl with a Pearl Earring,0007140843,Tracy Chevalier
561909.The_Hiding_Place,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,ISBN not found,"orrieTenBoom,"
30118.A_Light_in_the_Attic,A Light in the Attic,8466605673,Shel Silverstein
23807.The_Silence_of_the_Lambs,The Silence of the Lambs,0312924585,Thomas Harris
6068551-shiver,Shiver,9781299829411,Eleanor Alice Burford Hibbert
24770.Uglies,Uglies,9997287436,Hans Christian Andersen
6752378-city-of-fallen-angels,City of Fallen Angels,144240356X,Cassandra Clare
4069.Man_s_Search_for_Meaning,Man's Search for Meaning,2286034044,Viktor E. Frankl
5203.She_s_Come_Undone,She's Come Undone,9780671759209,Wally Lamb
480204.The_Phantom_of_the_Opera,The Phantom of the Opera,1083062182,Gaston Leroux
12691.Marley_and_Me,Marley and Me: Life and Love With the World's Worst Dog,Book not found,Author not found
24337.Ella_Enchanted,Ella Enchanted,9021618265,Gail Carson Levine
11275.The_Wind_Up_Bird_Chronicle,The Wind-Up Bird Chronicle,9781448752782,Haruki Murakami
11566.The_Green_Mile,The Green Mile,9781501192265,Stephen King
40495148-blindness,Blindness,1099444659,Edward Phillips Oppenheim
10572.A_Clash_of_Kings,A Clash of Kings,0007548249,George R. R. Martin
40874325-the-shack,The Shack,1444745832,C. Baxter Kruger
30183.Marked,Marked,9798799891299,R. Austin Freeman
39832183-the-guernsey-literary-and-potato-peel-pie-society,The Guernsey Literary and Potato Peel Pie Society,1299072747,Mary Ann Shaffer
7745.Fear_and_Loathing_in_Las_Vegas,Fear and Loathing in Las Vegas,9780006551362,Hunter S. Thompson
9328.The_House_of_the_Spirits,The House of the Spirits,1855662000,Karen Wooley Martin
24812.The_Complete_Calvin_and_Hobbes,The Complete Calvin and Hobbes,8857005151,Bill Watterson
546018.Roots,Roots: The Saga of an American Family,ISBN not found,Author not found
10614.Misery,Misery,1984898728,Stephen King
6294.Howl_s_Moving_Castle,Howl's Moving Castle,1442008431,Diana Wynne Jones
350.Stranger_in_a_Strange_Land,Stranger in a Strange Land,0786188480,Robert A. Heinlein
41044096-island-of-the-blue-dolphins,Island of the Blue Dolphins,9780833572387,Scott O'Dell
6892870-the-girl-who-kicked-the-hornet-s-nest,The Girl Who Kicked the Hornet's Nest,1407465368,Stieg Larsson
29044.The_Secret_History,The Secret History,9780679410324,Donna Tartt
32234.White_Oleander,White Oleander,1860499511,"Fitch, Janet"
11614718-delirium,Delirium,9780429899591,Chris Oakley
11505797-beautiful-disaster,Beautiful Disaster,9781442359482,Jamie McGuire
12996.Othello,Othello,9996239128,William Shakespeare
6442769-paper-towns,Paper Towns,342362499X,John Green
43814.The_Vampire_Lestat,The Vampire Lestat,9780708831533,Anne Rice
39280444-speak,Speak,0832910333,Dale Carnegie
12505.The_Idiot,The Idiot,9781673415674,John Kendrick Bangs
12938.King_Lear,King Lear,9570600918,William Shakespeare
43545.The_Once_and_Future_King,The Once and Future King,9781411407251,T. H. White
227711.I_Know_This_Much_Is_True,I Know This Much Is True,0060987561,Wally Lamb
14497.Neverwhere,Neverwhere,147224558X,Neil Gaiman
1845.Into_the_Wild,Into the Wild,0606297219,Erin Hunter
28194.Inkheart,Inkheart,0545007062,Sonia Sander
28881.Lamb,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",1442082372,Christopher Moore
30236962-the-historian,The Historian,0554289229,John Rudd
188572.The_Complete_Sherlock_Holmes,The Complete Sherlock Holmes,2702429556,Arthur Conan Doyle
19380.Candide,Candide,2865030911,Voltaire
6689.James_and_the_Giant_Peach,James and the Giant Peach,0141805927,Roald Dahl
2184798.Blood_River,Blood River: A Journey to Africa's Broken Heart,0701179813,TIM BUTCHER
15997.Paradise_Lost,Paradise Lost,9780140622447,John Milton
32085.All_Creatures_Great_and_Small,All Creatures Great and Small,0553138596,James Herriot
569564.The_Complete_Works,The Complete Works,0004202201,Robert Burns
40440.The_Thirteenth_Tale,The Thirteenth Tale,0743564510,Diane Setterfield
29579.Foundation,Foundation,1299089577,Isaac Asimov
11297.Norwegian_Wood,Norwegian Wood,9780857055293,Lars Mytting
133518.The_Things_They_Carried,The Things They Carried,9780767902892,Tim O'Brien
4687.The_Cider_House_Rules,The Cider House Rules,9780553258004,John Irving
39662.Different_Seasons,Different Seasons,9789684196056,Stephen King
4929.Kafka_on_the_Shore,Kafka on the Shore,1784877980,Haruki Murakami
93.Heidi,Heidi,1511486759,Johanna Spyri
37732.Are_You_There_God_It_s_Me_Margaret,"Are You There God? It's Me, Margaret",9780385739863,Judy Blume
8755776-city-of-lost-souls,City of Lost Souls,9780606377362,Cassandra Clare
10959.Sophie_s_World,Sophie's World,9780297858812,Jostein Gaarder
1215032.The_Wise_Man_s_Fear,The Wise Man's Fear,9780804169615,Patrick Rothfuss
58345.The_Awakening,The Awakening,9781647983024,Kate Chopin
16068905-fangirl,Fangirl,1250030951,Rainbow Rowell
228560.Sophie_s_Choice,Sophie's Choice,9780553209679,William Styron
16735.The_Prince_of_Tides,The Prince of Tides,0553381547,Pat Conroy
6334.Never_Let_Me_Go,Never Let Me Go,9780571258093,Kazuo Ishiguro
9520360-the-son-of-neptune,The Son of Neptune,9781423154525,Rick Riordan
301082.Dead_Until_Dark,Dead Until Dark,9781409110347,Charlaine Harris
9375.Fried_Green_Tomatoes_at_the_Whistle_Stop_Cafe,Fried Green Tomatoes at the Whistle Stop Cafe,9780739343531,Fannie Flagg
11857408-fifty-shades-darker,Fifty Shades Darker,9780099579922,E. L. James
9969571-ready-player-one,Ready Player One,9780525624837,Ernest Cline
19089.Middlemarch,Middlemarch,0753703920,George Eliot
44186.The_Monster_at_the_End_of_this_Book,The Monster at the End of this Book,9780307603166,Jon Stone
17927395-a-court-of-mist-and-fury,A Court of Mist and Fury,9781408857885,Sarah J. Maas
227443.Bridget_Jones_s_Diary,Bridget Jones's Diary,9780141000190,Helen Fielding
14942.Mrs_Dalloway,Mrs. Dalloway,1518885047,Virginia Woolf
7260188-mockingjay,Mockingjay,9781536425529,Suzanne Collins
5113.Franny_and_Zooey,Franny and Zooey,9788402062246,J. D. Salinger
122.The_Power_of_One,The Power of One,ISBN not found,Lindley Murray
65605.The_Magician_s_Nephew,The Magician's Nephew,9780786222315,C. S. Lewis
16793.Stardust,Stardust,3453199332,Neil Gaiman
47281.Number_the_Stars,Number the Stars,3596801826,Lois Lowry
36402034-do-androids-dream-of-electric-sheep,Do Androids Dream of Electric Sheep?,9780553545272,Philip K. Dick
18710190-allegiant,Allegiant,1594139601,Veronica Roth
15745753-eleanor-park,Eleanor & Park,1409157253,Rainbow Rowell
21.A_Short_History_of_Nearly_Everything,A Short History of Nearly Everything,1417665483,Bill Bryson
17347634-me-before-you,Me Before You,0718184009,Jojo Moyes
12127750-the-mark-of-athena,The Mark of Athena,1410452050,Rick Riordan
3153910-the-art-of-racing-in-the-rain,The Art of Racing in the Rain,9781554685271,Garth Stein
7235533-the-way-of-kings,The Way of Kings,1427209758,Brandon Sanderson
4374400-if-i-stay,If I Stay,9780147514530,Gayle Forman
3685.Black_Beauty,Black Beauty,0099866161,Anna Sewell
7588.A_Portrait_of_the_Artist_as_a_Young_Man,A Portrait of the Artist as a Young Man,1447470273,James Joyce
7733.Gulliver_s_Travels,Gulliver's Travels,9781983792397,Jonathan Swift
5826.Bel_Canto,Bel Canto,9780060006129,Ann Patchett
28676.American_Psycho,American Psycho,8439736649,Bret Easton Ellis
5805.V_for_Vendetta,V for Vendetta,3551018057,Alan Moore
310259.Love_You_Forever,Love You Forever,9780920668375,Robert N. Munsch
6327.The_Witches,The Witches,8420460206,Roald Dahl
2213661.The_Graveyard_Book,The Graveyard Book,9789573325741,Neil Gaiman
14905.The_Complete_Novels,The Complete Novels,9780936861104,Wendy Pini
13536860-fifty-shades-freed,Fifty Shades Freed,9789865922160,E. L. James
10920.Cold_Mountain,Cold Mountain,9782702832813,Charles Frazier
43035.White_Fang,White Fang,9780497260347,Jack London
52357.Beowulf,Beowulf,1421933314,Author not found
84981.Tuck_Everlasting,Tuck Everlasting,9781400089994,Natalie Babbitt
68428.The_Final_Empire,The Final Empire,9788466659949,Brandon Sanderson
6304335-beautiful-creatures,Beautiful Creatures,9781593975456,James Herriot
16631.Steppenwolf,Steppenwolf,071390917X,Hermann Hesse
45978.Eldest,Eldest,9781846576577,Christopher Paolini
42899.Dark_Lover,Dark Lover,0451223330,J. R. Ward
46799.Go_Ask_Alice,Go Ask Alice,7770785057,Beatrice Sparks
228665.The_Eye_of_the_World,The Eye of the World,081257995X,Robert Jordan
391729.The_Tell_Tale_Heart_and_Other_Writings,The Tell-Tale Heart and Other Writings,0780708199,Edgar Allan Poe
77013.As_I_Lay_Dying,As I Lay Dying,9780394702544,William Faulkner
5148.A_Separate_Peace,A Separate Peace,0030554640,John Knowles
15195.The_Complete_Maus,The Complete Maus,2080675346,Art Spiegelman
45032.Mansfield_Park,Mansfield Park,1983337757,Jane Austen
3985.The_Amazing_Adventures_of_Kavalier_Clay,The Amazing Adventures of Kavalier & Clay,0312282990,Michael Chabon
2248573.Brisingr,Brisingr,0385613857,Christopher Paolini
60748.A_Child_Called_It_,"A Child Called ""It""",9780739400616,Dave Pelzer
22232.Stargirl,Stargirl,037582233X,Jerry Spinelli
67896.Tao_Te_Ching,Tao Te Ching,9781842930564,Laozi
5526.Dear_John,Dear John,9781607888741,Nicholas Sparks
14836.Midnight_s_Children,Midnight's Children,9788804583608,Salman Rushdie
11590._Salem_s_Lot,'Salem's Lot,8401491002,Stephen King
76778.The_Martian_Chronicles,The Martian Chronicles,9780001071704,Ray Bradbury
7791997-crescendo,Crescendo,1442409622,Becca Fitzpatrick
11713.The_English_Patient,The English Patient,0747515069,Michael Ondaatje
4406.East_of_Eden,East of Eden,9788205115026,John Steinbeck
49628.Cloud_Atlas,Cloud Atlas,9780676974942,David Mitchell
629.Zen_and_the_Art_of_Motorcycle_Maintenance,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,1504046412,Worth Books
18007564-the-martian,The Martian,9780001071704,Ray Bradbury
5358.The_Firm,The Firm,3453071174,John Grisham
6400090-the-last-song,The Last Song,0517105047,J.R.R. Tolkien
17150.My_ntonia,My Ántonia,9780786170142,Willa Cather
10429045-shatter-me,Shatter Me,9781780318684,Tahereh Mafi
18122.The_Amber_Spyglass,The Amber Spyglass,8466636250,Philip Pullman
130440.Doctor_Zhivago,Doctor Zhivago,163637994X,Boris Pasternak
30597.The_Hunchback_of_Notre_Dame,The Hunchback of Notre-Dame,9780793565443,Hal Leonard Corp.
15645.Inferno,Inferno,9780393977967,Dante Alighieri
6952.Like_Water_for_Chocolate,Like Water for Chocolate,ISBN not found,"Marco Leonardi, Lumi Cavazos, Regina Torné, Mario Iván Martínez"
31685789-room,Room,9798512464342,Edgar Wallace
5364.Dragonfly_in_Amber,Dragonfly in Amber,0385335970,Diana Gabaldon
4980.Breakfast_of_Champions,Breakfast of Champions,9780808599425,Kurt Vonnegut
6319.The_BFG,The BFG,9188876519,Roald Dahl
23437156-six-of-crows,Six of Crows,9781627795098,Leigh Bardugo
22463.The_Origin_of_Species,The Origin of Species,9780393092196,Charles Darwin
5211.A_Fine_Balance,A Fine Balance,9782253150862,Rohinton Mistry
8490112-daughter-of-smoke-bone,Daughter of Smoke & Bone,9781611132977,Laini Taylor
51496.The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde,The Strange Case of Dr. Jekyll and Mr. Hyde,9788490650615,Robert Louis Stevenson
8755785-city-of-heavenly-fire,City of Heavenly Fire,9781486220519,Cassandra Clare
3975774-evermore,Evermore,9781705147726,Taylor Swift
41637836-the-subtle-knife,The Subtle Knife,3551352372,Philip Pullman
12898.Death_of_a_Salesman,Death of a Salesman,9798409454319,Arthur Miller
10644930-11-22-63,11/22/63,9788820051358,Stephen King
386187.Midnight_in_the_Garden_of_Good_and_Evil,Midnight in the Garden of Good and Evil,9780676546811,John Berendt
12220.A_Streetcar_Named_Desire,A Streetcar Named Desire,9780451154453,Tennessee Williams
6759.Infinite_Jest,Infinite Jest,9780316073851,David Foster Wallace
28862.The_Prince,The Prince,314046407X,Antoine de Saint-Exupéry
1420.Hamlet,Hamlet,9780174434696,William Shakespeare
14706.Faust_First_Part,"Faust, First Part",ISBN not found,Johann Wolfgang von Goethe
40873273-snow-flower-and-the-secret-fan,Snow Flower and the Secret Fan,1417774339,Lisa See
