bookId,title,new_isbn,new_author
295198.Slaves_of_the_Mastery,Slaves of the Mastery,9783423707046,William Nicholson
28818314-roseblood,RoseBlood,9780755395965,P. C. Doherty
1434318.Peculiar_Treasures,Peculiar Treasures,0736606661,Edna Ferber
6468870-who-goes-there,Who Goes There?,9783849513818,Blackwood Ketcham Benson
32024902-darker,Darker,9780099579922,E. L. James
18527496-catch-a-falling-star,Catch a Falling Star,0750520248,Ken McCoy
64394.The_Stainless_Steel_Rat,The Stainless Steel Rat,1857231996,Harry Harrison
9758764-then-came-you,Then Came You,9780701115128,Ann Bridge
36097619-the-tuscan-child,The Tuscan Child,1978615604,Rhys Bowen
2905807-b-t-n-iirleri,Bütün Şiirleri,9786057676689,Orhan Veli Kanik
18375252-au-revoir-l--haut,Au revoir là-haut,9781623659035,Pierre Lemaitre
129131.The_State_of_the_Art,The State of the Art,9780316565646,Iain M. Banks
998024.The_Politics_of_Obedience,The Politics of Obedience: The Discourse of Voluntary Servitude,Book not found,Author not found
638603.Montmorency,"Montmorency: Thief, Liar, Gentleman?",ISBN not found,Author not found
1087184.Chobits_Vol_6,"Chobits, Vol. 6",9781417652099,Author not found
13065.Native_Tongue,Native Tongue,9781568953441,Carl Hiaasen
546721.The_Want_Ad_Killer,The Want-Ad Killer,9781417650798,Ann Rule
381713.Elizabeth_and_Mary,"Elizabeth and Mary: Cousins, Rivals, Queens",9780002571500,JANE DUNN
47924.I_Like_It_Like_That,I Like It Like That,0316042021,Cecily von Ziegesar
769016.How_to_Talk_So_Kids_Will_Listen_Listen_So_Kids_Will_Talk,How to Talk So Kids Will Listen & Listen So Kids Will Talk,9780380570003,Adele Faber
138097.Out_of_the_Deep_I_Cry,Out of the Deep I Cry,9781587247491,Julia Spencer-Fleming
582533.Creative_Visualization,Creative Visualization: Use the Power of Your Imagination to Create What You Want in Your Life,Book not found,Author not found
734191.Thirty_Nights_with_a_Highland_Husband,Thirty Nights with a Highland Husband,9781416545200,Melissa Mayhue
112874.These_High_Green_Hills,"These High, Green Hills",0745933882,Jan Karon
78674.Out_to_Canaan,Out to Canaan,9781574901047,Jan Karon
71787.In_This_Mountain,In This Mountain,1417623357,Jan Karon
99461.Split_Infinity,Split Infinity,9780345336002,Piers Anthony
6135576-pleasure,Pleasure,1854772295,Mark Akenside
451220.Lessons_from_a_Dead_Girl,Lessons from a Dead Girl,0763644854,Jo Knowles
156565.The_Leopard_Prince,The Leopard Prince,9780446194587,Elizabeth Hoyt
3295696-about-a-dragon,About a Dragon,1420103741,G. A. Aiken
