bookId,new_author,clean_author,birthplace,latlong,author_used
2767052-the-hunger-games,Suzanne Collins,Suzanne Collins,"Hartford, Connecticut",41.7625 -72.67416666666666,1
2.Harry_Potter_and_the_Order_of_the_Phoenix,J. K. Rowling,J.K. Rowling,Yate,51.5402 -2.410989,2
41865.Twilight,Stephenie Meyer,Stephenie Meyer,"Hartford, Connecticut",41.7625 -72.67416666666666,1
19063.The_Book_Thief,Markus Zusak,Markus Zusak,"Sydney, Australia",,1
170448.Animal_Farm,George Orwell,George Orwell,Bengal Presidency,22.566 88.3464,1
30.J_R_R_Tolkien_4_Book_Boxed_Set,,J.R.R. Tolkien,,,2
18405.Gone_with_the_Wind,Margaret Mitchell,Margaret Mitchell,Georgia (U.S. state),33.0 -83.0,1
370493.The_Giving_Tree,Shel Silverstein,Shel Silverstein,Chicago,41.88194444444444 -87.62777777777778,1
6185.Wuthering_Heights,Emily Brontë,Emily Brontë,"Thornton, West Yorkshire",53.7898 -1.8504,1
929.Memoirs_of_a_Geisha,Arthur Golden,Arthur Golden,"Chattanooga, Tennessee",35.04555555555555 -85.26722222222222,1
24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,Lewis Carroll,Lewis Carroll,Daresbury,53.3402 -2.6332,1
10210.Jane_Eyre,"Brontë, Charlotte",Charlotte Brontë,"Thornton, West Yorkshire",53.7898 -1.8504,1
13079982-fahrenheit-451,Ray Bradbury,Ray Bradbury,"Waukegan, Illinois",42.37027777777778 -87.8711111111111,1
13335037-divergent,Veronica Roth,Veronica Roth,New York City,40.71277777777778 -74.00611111111111,1
7624.Lord_of_the_Flies,William Golding,William Golding,,,2
18135.Romeo_and_Juliet,William Shakespeare,William Shakespeare,Stratford-upon-Avon,52.19277777777778 -1.7063888888888887,1
18144590-the-alchemist,Paulo Coelho,Paulo Coelho,Brazil,-15.783333333333333 -47.86666666666667,1
7144.Crime_and_Punishment,Fyodor Dostoyevsky,Fyodor Dostoyevsky,,,2
256683.City_of_Bones,Michael Connelly,Cassandra Clare,Tehran,35.689166666666665 51.388888888888886,1
375802.Ender_s_Game,Orson Scott Card,Orson Scott Card,"Richland, Washington",46.27972222222222 -119.28138888888888,1
8127.Anne_of_Green_Gables,Lucy Maud Montgomery,L.M. Montgomery,"New London, Prince Edward Island",46.46472222222222 -63.51111111111111,2
24178.Charlotte_s_Web,E. B. White,E.B. White,"Mount Vernon, New York",40.91416666666667 -73.83055555555555,2
890.Of_Mice_and_Men,John Steinbeck,John Steinbeck,"Salinas, California",36.67777777777778 -121.65555555555555,1
18619684-the-time-traveler-s-wife,Audrey Niffenegger,Audrey Niffenegger,"South Haven, Michigan",42.403055555555554 -86.27361111111111,1
17245.Dracula,Bram Stoker,Bram Stoker,"Clontarf, Dublin",53.365 -6.21,1
5129.Brave_New_World,Aldous Huxley,Aldous Huxley,Godalming,51.18 -0.61,1
5107.The_Catcher_in_the_Rye,J. D. Salinger,J.D. Salinger,,,2
21787.The_Princess_Bride,William Goldman,William Goldman,Chicago (musical),,1
28187.The_Lightning_Thief,Rick Riordan,Rick Riordan,"San Antonio, Texas",,1
2998.The_Secret_Garden,Frances Hodgson Burnett,Frances Hodgson Burnett,Manchester,53.47944444444445 -2.245277777777778,1
128029.A_Thousand_Splendid_Suns,Khaled Hosseini,Khaled Hosseini,Afghanistan,34.516666666666666 69.18333333333334,1
33574273-a-wrinkle-in-time,Madeleine L'Engle,Madeleine L'Engle,New York City,40.71277777777778 -74.00611111111111,1
13496.A_Game_of_Thrones,George R. R. Martin,George R.R. Martin,"Bayonne, New Jersey",40.66253 -74.110192,2
2956.The_Adventures_of_Huckleberry_Finn,Roland Mann,Mark Twain,"Florida, Missouri",39.49166666666667 -91.79,1
12232938-the-lovely-bones,Alice Sebold,Alice Sebold,"Madison, Wisconsin",43.07472222222222 -89.38416666666667,1
19543.Where_the_Wild_Things_Are,Maurice Sendak,Maurice Sendak,Brooklyn,40.69277777777778 -73.99027777777778,1
23772.Green_Eggs_and_Ham,Dr. Seuss,Dr. Seuss,"Springfield, Massachusetts",42.10138888888889 -72.59027777777777,1
1381.The_Odyssey,Όμηρος,Homer,,,2
4214.Life_of_Pi,Yann Martel,Yann Martel,Salamanca,40.96666666666667 -5.666666666666667,1
1953.A_Tale_of_Two_Cities,Charles Dickens,Charles Dickens,Portsmouth,50.80583333333333 -1.0872222222222223,1
43641.Water_for_Elephants,Sara Gruen,Sara Gruen,Vancouver,49.26111111111111 -123.1138888888889,1
7604.Lolita,Vladimir Nabokov,Vladimir Nabokov,Russian Empire,,1
4981.Slaughterhouse_Five,Kurt Vonnegut,Kurt Vonnegut Jr.,Indianapolis,39.76861111111111 -86.15805555555555,2
35031085-frankenstein,Mary Wollstonecraft Shelley,Mary Wollstonecraft Shelley,,,2
3636.The_Giver,Lois Lowry,Lois Lowry,Honolulu,21.306944444444444 -157.85833333333332,1
168668.Catch_22,Joseph Heller,Joseph Heller,Brooklyn,40.69277777777778 -73.99027777777778,1
44767458-dune,Frank Herbert,Frank Herbert,"Tacoma, Washington",47.24138888888889 -122.45944444444444,1
149267.The_Stand,Stephen King,Stephen King,Maine,45.0 -69.0,1
76620.Watership_Down,Richard Adams,Richard Adams,"Newbury, Berkshire",51.401 -1.323,1
2623.Great_Expectations,Charles Dickens,Charles Dickens,Portsmouth,50.80583333333333 -1.0872222222222223,1
1934.Little_Women,Louisa May Alcott,Louisa May Alcott,"Germantown, Philadelphia",40.043 -75.181,1
136251.Harry_Potter_and_the_Deathly_Hallows,J. K. Rowling,J.K. Rowling,Yate,51.5402 -2.410989,2
10964.Outlander,Diana Gabaldon,Diana Gabaldon,"Scottsdale, Arizona",33.49305555555556 -111.92611111111111,1
10917.My_Sister_s_Keeper,Jodi Picoult,Jodi Picoult,"Nesconset, New York",40.846111111111114 -73.15055555555556,1
39988.Matilda,Roald Dahl,Roald Dahl,Cardiff,51.48166666666667 -3.1791666666666667,1
3263607-the-fellowship-of-the-ring,J.R.R. Tolkien,J.R.R. Tolkien,,,2
17899948-rebecca,Daphne du Maurier,Daphne du Maurier,,,2
40961427-1984,Peru,George Orwell,Bengal Presidency,22.566 88.3464,1
52892857-the-color-purple,Alice Walker,Alice Walker,"Eatonton, Georgia",33.326388888888886 -83.38777777777777,1
14891.A_Tree_Grows_in_Brooklyn,Betty Smith,Betty Smith,Brooklyn,40.69277777777778 -73.99027777777778,1
41817486-a-clockwork-orange,Anthony Burgess,Anthony Burgess,England,51.5 -0.11666666666666667,1
6288.The_Road,Jack Kerouac,Cormac McCarthy,"Providence, Rhode Island",41.82361111111111 -71.42222222222222,1
4934.The_Brothers_Karamazov,Fyodor Dostoyevsky,Fyodor Dostoyevsky,,,2
252577.Angela_s_Ashes,Frank McCourt,Frank McCourt,Brooklyn,40.69277777777778 -73.99027777777778,1
345627.Vampire_Academy,Richelle Mead,Richelle Mead,Michigan,44.0 -85.0,1
7244.The_Poisonwood_Bible,Barbara Kingsolver,Barbara Kingsolver,"Annapolis, Maryland",38.973055555555554 -76.50111111111111,1
119322.The_Golden_Compass,Stéphane Melchior-Durand,Philip Pullman,Norwich,52.63 1.297,1
3836.Don_Quixote,Miguel de Cervantes Saavedra,Miguel de Cervantes Saavedra,,,2
662.Atlas_Shrugged,Ayn Rand,Ayn Rand,Russian Empire,,1
5.Harry_Potter_and_the_Prisoner_of_Azkaban,J. K. Rowling,J.K. Rowling,Yate,51.5402 -2.410989,2
2165.The_Old_Man_and_the_Sea,Ernest Hemingway,Ernest Hemingway,"Oak Park, Illinois",41.888333333333335 -87.78944444444444,1
33648131-the-notebook,Nicholas Sparks,Nicholas Sparks,"Omaha, Nebraska",41.25861111111111 -95.9375,1
99107.Winnie_the_Pooh,A. A. Milne,A.A. Milne,"Kilburn, London",51.5366 -0.2039,2
23919.The_Complete_Stories_and_Poems,Edgar Allan Poe,Edgar Allan Poe,Boston,42.360277777777775 -71.05777777777777,1
43763.Interview_with_the_Vampire,Anne Rice,Anne Rice,"New Orleans, Louisiana",,1
4473.A_Prayer_for_Owen_Meany,John Irving,John Irving,"Exeter, New Hampshire",42.98138888888889 -70.94777777777777,1
153747.Moby_Dick_or_the_Whale,Herman Herman Melville,Herman Melville,New York City,40.71277777777778 -74.00611111111111,1
4989.The_Red_Tent,Anita Diamant,Anita Diamant,,,2
37435.The_Secret_Life_of_Bees,Sue Monk Kidd,Sue Monk Kidd,"Sylvester, Georgia",31.531388888888888 -83.83611111111111,1
7171637-clockwork-angel,Kevin J. Anderson,Cassandra Clare,Tehran,35.689166666666665 51.388888888888886,1
16299.And_Then_There_Were_None,Agatha Christie,Agatha Christie,Devon,50.71666666666667 -3.716666666666667,1
2187.Middlesex,Jeffrey Eugenides,Jeffrey Eugenides,Detroit,42.33138888888889 -83.04583333333333,1
117833.The_Master_and_Margarita,Mikhail Afanasyevich Bulgakov,Mikhail Bulgakov,Russian Empire,,1
186074.The_Name_of_the_Wind,Patrick Rothfuss,Patrick Rothfuss,"Madison, Wisconsin",43.07472222222222 -89.38416666666667,1
11588.The_Shining,Stephen King,Stephen King,Maine,45.0 -69.0,1
24583.The_Adventures_of_Tom_Sawyer,Mark Twain,Mark Twain,"Florida, Missouri",39.49166666666667 -91.79,1
113436.Eragon,Christopher Paolini,Christopher Paolini,California,35.491035 -119.347852,1
6310.Charlie_and_the_Chocolate_Factory,Roald Dahl,Roald Dahl,Cardiff,51.48166666666667 -3.1791666666666667,1
70401.On_the_Road,Jack Kerouac,Jack Kerouac,"Lowell, Massachusetts",42.63944444444444 -71.31472222222222,1
1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,Mark Haddon,Mark Haddon,"Northampton, Northamptonshire",,1
4948.The_Very_Hungry_Caterpillar,Eric Carle,Eric Carle,"Syracuse, New York",43.04694444444444 -76.14444444444445,1
6900.Tuesdays_with_Morrie,Mitch Albom,Mitch Albom,"Passaic, New Jersey",40.857552 -74.129089,1
9717.The_Unbearable_Lightness_of_Being,Malcolm Pryce,Milan Kundera,Brno,49.1925 16.608333333333334,1
119073.The_Name_of_the_Rose,Christine E. Blum,Umberto Eco,Alessandria,44.916666666666664 8.616666666666667,1
10365.Where_the_Red_Fern_Grows,Wilson Rawls,Wilson Rawls,"Scraper, Oklahoma",,1
15881.Harry_Potter_and_the_Chamber_of_Secrets,J. K. Rowling,J.K. Rowling,Yate,51.5402 -2.410989,2
12296.The_Scarlet_Letter,Nathaniel Hawthorne,Nathaniel Hawthorne,"Salem, Massachusetts",42.519444444444446 -70.89722222222223,1
168642.In_Cold_Blood,Truman Capote,Truman Capote,New Orleans,29.95 -90.08,1
36236124-fight-club,Chuck Palahniuk,Chuck Palahniuk,"Pasco, Washington",46.23861111111111 -119.10861111111112,1
3431.The_Five_People_You_Meet_in_Heaven,Mitch Albom,Mitch Albom,"Passaic, New Jersey",40.857552 -74.129089,1
6339664-hush-hush,William Le Queux,Becca Fitzpatrick,London,51.507222222222225 -0.1275,2
233093.The_Cat_in_the_Hat,Dr. Seuss,Dr. Seuss,"Springfield, Massachusetts",42.10138888888889 -72.59027777777777,1
7126.The_Count_of_Monte_Cristo,Jim Weiss,Alexandre Dumas,Villers-Cotterêts,49.26 3.0906,1
256008.Lonesome_Dove,Larry McMurtry,Larry McMurtry,"Archer City, Texas",33.594166666666666 -98.62638888888888,1
343.Perfume,,Patrick Süskind,Bavaria,49.07861111111111 11.385555555555555,1
38709.Holes,Louis Sachar,Louis Sachar,"East Meadow, New York",40.71361111111111 -73.55583333333334,1
472331.Watchmen,Alan Moore,Alan Moore,Northampton,52.2303748 -0.8937527,1
830502.It,Mark Twain,Stephen King,Maine,45.0 -69.0,1
4556058-the-last-olympian,Rick Riordan,Rick Riordan,"San Antonio, Texas",,1
6656.The_Divine_Comedy,Dante Alighieri,Dante Alighieri,Republic of Florence,43.769444444444446 11.25611111111111,1
34268.Peter_Pan,J. M. Barrie,J.M. Barrie,"Angus, Scotland",56.666666666666664 -2.9166666666666665,2
355697.All_Quiet_on_the_Western_Front,Erich Maria Remarque,Erich Maria Remarque,German Empire,52.516666666666666 13.4,1
5907.The_Hobbit_or_There_and_Back_Again,,J.R.R. Tolkien,,,2
1423.The_Compleat_Works_of_Wllm_Shkspr,,Reduced Shakespeare Company,,,2
9712.Love_in_the_Time_of_Cholera,Mike Newell,Gabriel García Márquez,Aracataca,10.593694444444445 -74.19280833333333,1
2802316-shadow-kiss,Laurell K. Hamilton,Richelle Mead,Michigan,44.0 -85.0,1
11735983-insurgent,John Reed,Veronica Roth,New York City,40.71277777777778 -74.00611111111111,1
113946.How_the_Grinch_Stole_Christmas_,Dr. Seuss,Dr. Seuss,"Springfield, Massachusetts",42.10138888888889 -72.59027777777777,1
13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy,Douglas Adams,Douglas Adams,Cambridge,52.20527777777778 0.11916666666666667,1
6867.Atonement,Ian McEwan,Ian McEwan,Aldershot,51.248333333333335 -0.7613888888888888,1
92303.The_Importance_of_Being_Earnest,Oscar Wilde,Oscar Wilde,Dublin,53.35 -6.260277777777778,1
19501.Eat_Pray_Love,Elizabeth Gilbert,Elizabeth Gilbert,"Waterbury, Connecticut",41.556111111111115 -73.04138888888889,1
37415.Their_Eyes_Were_Watching_God,Zora Neale Hurston,Zora Neale Hurston,"Notasulga, Alabama",32.560833333333335 -85.6675,1
236093.The_Wonderful_Wizard_of_Oz,L. Frank Baum,L. Frank Baum,"Chittenango, New York",43.045833333333334 -75.87388888888889,1
32929.Goodnight_Moon,Margaret Wise Brown,Margaret Wise Brown,Brooklyn,40.69277777777778 -73.99027777777778,1
7784.The_Lorax,Dr. Seuss,Dr. Seuss,"Springfield, Massachusetts",42.10138888888889 -72.59027777777777,1
5996153-blood-promise,Brian McClellan,Richelle Mead,Michigan,44.0 -85.0,1
1078.The_Good_Earth,Pearl S. Buck,Pearl S. Buck,"Hillsboro, West Virginia",38.13805555555555 -80.2125,1
4900.Heart_of_Darkness,Joseph Conrad,Joseph Conrad,Berdychiv,49.9 28.566666666666666,1
1622.A_Midsummer_Night_s_Dream,William Shakespeare,William Shakespeare,Stratford-upon-Avon,52.19277777777778 -1.7063888888888887,1
18335634-clockwork-princess,Cassandra Clare,Cassandra Clare,Tehran,35.689166666666665 51.388888888888886,1
2547.The_Prophet,Kahlil Gibran,Kahlil Gibran,Mount Lebanon Mutasarrifate,,1
40605251-the-mists-of-avalon,Marion Zimmer Bradley,Marion Zimmer Bradley,United States,38.88333333333333 -77.01666666666667,1
561456.The_Titan_s_Curse,Rick Riordan,Rick Riordan,"San Antonio, Texas",,1
28186.The_Sea_of_Monsters,Rick Riordan,Rick Riordan,"San Antonio, Texas",,1
7763.The_Joy_Luck_Club,Amy Tan,Amy Tan,"Oakland, California",37.80444444444444 -122.27083333333333,1
13023.Alice_in_Wonderland,Lewis Carroll,Jane Carruth,Daresbury,53.3402 -2.6332,2
1852.The_Call_of_the_Wild,Jack London,Jack London,California,35.491035 -119.347852,1
71728.Jonathan_Livingston_Seagull,Richard Bach,Richard Bach,"Oak Park, Illinois",41.888333333333335 -87.78944444444444,1
2175.Madame_Bovary,Gustave Flaubert,Gustave Flaubert,Rouen,49.44277777777778 1.0886111111111112,1
378.The_Phantom_Tollbooth,Norton Juster,Norton Juster,"Brooklyn, New York",,1
40940121-bridge-to-terabithia,Katherine Paterson,Katherine Paterson,Huai'an,33.551 119.113,1
7938275-the-hunger-games-trilogy-boxset,,Suzanne Collins,"Hartford, Connecticut",41.7625 -72.67416666666666,1
191139.Oh_the_Places_You_ll_Go_,Dr. Seuss,Dr. Seuss,"Springfield, Massachusetts",42.10138888888889 -72.59027777777777,1
5060378-the-girl-who-played-with-fire,Stieg Larsson,Stieg Larsson,,,2
6186357-the-maze-runner,James Dashner,James Dashner,"Austell, Georgia",33.81583333333333 -84.6361111111111,1
27712.The_Neverending_Story,Michael Ende,Michael Ende,Garmisch-Partenkirchen,47.5 11.083333333333334,1
295.Treasure_Island,Robert Louis Stevenson,Robert Louis Stevenson,Edinburgh,55.95333333333333 -3.1891666666666665,1
10818853-fifty-shades-of-grey,E. L. James,E.L. James,London,51.507222222222225 -0.1275,2
40611463-the-clan-of-the-cave-bear,Jean M. Auel,Jean M. Auel,Chicago,41.88194444444444 -87.62777777777778,1
62291.A_Storm_of_Swords,George R. R. Martin,George R.R. Martin,"Bayonne, New Jersey",40.66253 -74.110192,2
2696.The_Canterbury_Tales,Geoffrey Chaucer,Geoffrey Chaucer,London,51.507222222222225 -0.1275,1
7069.The_World_According_to_Garp,John Irving,John Irving,"Exeter, New Hampshire",42.98138888888889 -70.94777777777777,1
10799.A_Farewell_to_Arms,Ernest Hemingway,Ernest Hemingway,"Oak Park, Illinois",41.888333333333335 -87.78944444444444,1
6350972-tote-m-dchen-l-gen-nicht,Imported by Yulo inc.,Jay Asher,"Arcadia, California",34.132777777777775 -118.0363888888889,1
37442.Wicked,,Gregory Maguire,"Albany, New York",42.6525 -73.75722222222223,1
402093.Sh_gun,James Clavell,James Clavell,,,2
4588.Extremely_Loud_Incredibly_Close,Jonathan Safran Foer,Jonathan Safran Foer,"Washington, D.C.",38.90472222222222 -77.01638888888888,1
853510.Murder_on_the_Orient_Express,Agatha Christie,Agatha Christie,Devon,50.71666666666667 -3.716666666666667,1
18116.His_Dark_Materials,Philip Pullman,Philip Pullman,Norwich,52.63 1.297,1
3008.A_Little_Princess,Frances Hodgson Burnett,Frances Hodgson Burnett,Manchester,53.47944444444445 -2.245277777777778,1
375013.Schindler_s_List,Thomas Keneally,Thomas Keneally,Sydney,-33.867777777777775 151.21,1
40604658-jurassic-park,Michael Crichton,Michael Crichton,Chicago,41.88194444444444 -87.62777777777778,1
6527740-last-sacrifice,Richelle Mead,Richelle Mead,Michigan,44.0 -85.0,1
9361589-the-night-circus,Erin Morgenstern,Erin Morgenstern,,,2
6487308-fallen,V. C. Andrews,Lauren Kate,"Dayton, Ohio",39.75944444444445 -84.19166666666666,1
7332.The_Silmarillion,J.R.R. Tolkien,J.R.R. Tolkien,,,2
514811.The_Secret_Magdalene,Ki Longfellow,Ki Longfellow,"Staten Island, New York",,1
6149.Beloved,Toni Morrison,Toni Morrison,"Lorain, Ohio",41.44833333333333 -82.16888888888889,1
310612.A_Confederacy_of_Dunces,John Kennedy Toole,John Kennedy Toole,Louisiana,31.0 -92.0,1
10507293-the-selection,Charles Darwin,Kiera Cass,"Myrtle Beach, South Carolina",33.744075 -78.869475,1
144974.The_Velveteen_Rabbit,Margery Williams Bianco,Margery Williams Bianco,,,2
6148028-catching-fire,Suzanne Collins,Suzanne Collins,"Hartford, Connecticut",41.7625 -72.67416666666666,1
7736182-the-lost-hero,Rick Riordan,Rick Riordan,"San Antonio, Texas",,1
6479259-spirit-bound,Christine Feehan,Richelle Mead,Michigan,44.0 -85.0,1
10025305-clockwork-prince,Heather Lind,Cassandra Clare,Tehran,35.689166666666665 51.388888888888886,1
1375.The_Iliad_The_Odyssey,Homer,Homer,,,2
17250.The_Crucible,Arthur Miller,Arthur Miller,Manhattan,40.78333333333333 -73.96666666666667,1
135479.Cat_s_Cradle,Kurt Vonnegut,Kurt Vonnegut Jr.,Indianapolis,39.76861111111111 -86.15805555555555,2
9777.The_God_of_Small_Things,Arundhati Roy,Arundhati Roy,,,2
5659.The_Wind_in_the_Willows,Kenneth Grahame,Kenneth Grahame,Edinburgh,55.95333333333333 -3.1891666666666665,1
8130077-the-screwtape-letters,C. S. Lewis,C.S. Lewis,Belfast,54.59638888888889 -5.93,2
2865.Girl_with_a_Pearl_Earring,Tracy Chevalier,Tracy Chevalier,"Washington, D.C.",38.90472222222222 -77.01638888888888,1
561909.The_Hiding_Place,"orrieTenBoom,",Corrie ten Boom,Haarlem,52.38333333333333 4.633333333333333,1
30118.A_Light_in_the_Attic,Shel Silverstein,Shel Silverstein,Chicago,41.88194444444444 -87.62777777777778,1
23807.The_Silence_of_the_Lambs,Thomas Harris,Thomas Harris,"Jackson, Tennessee",35.614444444444445 -88.81388888888888,1
6068551-shiver,Eleanor Alice Burford Hibbert,Maggie Stiefvater,"Harrisonburg, Virginia",38.449444444444445 -78.86888888888889,1
24770.Uglies,Hans Christian Andersen,Scott Westerfeld,Dallas,32.77916666666667 -96.80888888888889,1
6752378-city-of-fallen-angels,Cassandra Clare,Cassandra Clare,Tehran,35.689166666666665 51.388888888888886,1
4069.Man_s_Search_for_Meaning,Viktor E. Frankl,Viktor E. Frankl,,,2
5203.She_s_Come_Undone,Wally Lamb,Wally Lamb,"Norwich, Connecticut",41.55027777777778 -72.0875,1
480204.The_Phantom_of_the_Opera,Gaston Leroux,Gaston Leroux,Paris,48.856613 2.352222,1
12691.Marley_and_Me,,John Grogan,Detroit,42.33138888888889 -83.04583333333333,1
24337.Ella_Enchanted,Gail Carson Levine,Gail Carson Levine,"New York, New York",,1
11275.The_Wind_Up_Bird_Chronicle,Haruki Murakami,Haruki Murakami,"Fushimi-ku, Kyoto",34.93611111111111 135.7613888888889,1
11566.The_Green_Mile,Stephen King,Stephen King,Maine,45.0 -69.0,1
40495148-blindness,Edward Phillips Oppenheim,José Saramago,Azinhaga,39.347 -8.532,1
10572.A_Clash_of_Kings,George R. R. Martin,George R.R. Martin,"Bayonne, New Jersey",40.66253 -74.110192,2
40874325-the-shack,C. Baxter Kruger,William Paul Young,,,2
30183.Marked,R. Austin Freeman,P.C. Cast,England,51.5 -0.11666666666666667,2
39832183-the-guernsey-literary-and-potato-peel-pie-society,Mary Ann Shaffer,Mary Ann Shaffer,,,2
7745.Fear_and_Loathing_in_Las_Vegas,Hunter S. Thompson,Hunter S. Thompson,"Louisville, Kentucky",38.25611111111111 -85.75138888888888,1
9328.The_House_of_the_Spirits,Karen Wooley Martin,Isabel Allende,Peru,-12.043333333333333 -77.02833333333334,1
24812.The_Complete_Calvin_and_Hobbes,Bill Watterson,Bill Watterson,"Washington, D.C.",38.90472222222222 -77.01638888888888,1
546018.Roots,,Alex Haley,"Ithaca, New York",42.443333333333335 -76.5,1
10614.Misery,Stephen King,Stephen King,Maine,45.0 -69.0,1
6294.Howl_s_Moving_Castle,Diana Wynne Jones,Diana Wynne Jones,London,51.507222222222225 -0.1275,1
350.Stranger_in_a_Strange_Land,Robert A. Heinlein,Robert A. Heinlein,"Butler, Missouri",38.25861111111111 -94.335,1
41044096-island-of-the-blue-dolphins,Scott O'Dell,Scott O'Dell,"Los Angeles, California",,1
6892870-the-girl-who-kicked-the-hornet-s-nest,Stieg Larsson,Stieg Larsson,,,2
29044.The_Secret_History,Donna Tartt,Donna Tartt,"Greenwood, Mississippi",33.51861111111111 -90.18388888888889,1
32234.White_Oleander,"Fitch, Janet",Janet Fitch,California,35.491035 -119.347852,1
11614718-delirium,Chris Oakley,Lauren Oliver,Queens,40.75 -73.86666666666666,1
11505797-beautiful-disaster,Jamie McGuire,Jamie McGuire,Birkenhead,53.393 -3.014,1
12996.Othello,William Shakespeare,William Shakespeare,Stratford-upon-Avon,52.19277777777778 -1.7063888888888887,1
6442769-paper-towns,John Green,John Green,Indiana,40.0 -86.0,1
43814.The_Vampire_Lestat,Anne Rice,Anne Rice,"New Orleans, Louisiana",,1
39280444-speak,Dale Carnegie,Laurie Halse Anderson,"Potsdam (town), New York",,1
12505.The_Idiot,John Kendrick Bangs,Fyodor Dostoyevsky,"Yonkers, New York",40.94138888888889 -73.86444444444444,2
12938.King_Lear,William Shakespeare,William Shakespeare,Stratford-upon-Avon,52.19277777777778 -1.7063888888888887,1
43545.The_Once_and_Future_King,T. H. White,T.H. White,Mumbai,19.07611111111111 72.8775,2
227711.I_Know_This_Much_Is_True,Wally Lamb,Wally Lamb,"Norwich, Connecticut",41.55027777777778 -72.0875,1
14497.Neverwhere,Neil Gaiman,Neil Gaiman,Portchester,50.842 -1.12,1
1845.Into_the_Wild,Erin Hunter,Jon Krakauer,"Brookline, Massachusetts",42.33166666666666 -71.12166666666667,1
28194.Inkheart,Sonia Sander,Cornelia Funke,West Germany,,1
28881.Lamb,Christopher Moore,Christopher Moore,,,2
30236962-the-historian,John Rudd,Elizabeth Kostova,"New London, Connecticut",41.355555555555554 -72.09944444444444,1
188572.The_Complete_Sherlock_Holmes,Arthur Conan Doyle,Arthur Conan Doyle,Edinburgh,55.95333333333333 -3.1891666666666665,1
19380.Candide,Voltaire,Voltaire,Paris,48.856613 2.352222,1
6689.James_and_the_Giant_Peach,Roald Dahl,Roald Dahl,Cardiff,51.48166666666667 -3.1791666666666667,1
2184798.Blood_River,TIM BUTCHER,Tim Butcher,,,2
15997.Paradise_Lost,John Milton,John Milton,Bread Street,51.5144 -0.0966,1
32085.All_Creatures_Great_and_Small,James Herriot,James Herriot,"Sunderland, Tyne and Wear",,1
569564.The_Complete_Works,Robert Burns,William Shakespeare,Stratford-upon-Avon,52.19277777777778 -1.7063888888888887,1
40440.The_Thirteenth_Tale,Diane Setterfield,Diane Setterfield,,,2
29579.Foundation,Isaac Asimov,Isaac Asimov,Petrovichi,53.975 32.15888888888889,1
11297.Norwegian_Wood,Lars Mytting,Haruki Murakami,"Fushimi-ku, Kyoto",34.93611111111111 135.7613888888889,1
133518.The_Things_They_Carried,Tim O'Brien,Tim O'Brien,,,2
4687.The_Cider_House_Rules,John Irving,John Irving,"Exeter, New Hampshire",42.98138888888889 -70.94777777777777,1
39662.Different_Seasons,Stephen King,Stephen King,Maine,45.0 -69.0,1
4929.Kafka_on_the_Shore,Haruki Murakami,Haruki Murakami,"Fushimi-ku, Kyoto",34.93611111111111 135.7613888888889,1
93.Heidi,Johanna Spyri,Johanna Spyri,Hirzel,47.21666666666667 8.6,1
37732.Are_You_There_God_It_s_Me_Margaret,Judy Blume,Judy Blume,"Elizabeth, New Jersey",40.663 -74.214,1
8755776-city-of-lost-souls,Cassandra Clare,Cassandra Clare,Tehran,35.689166666666665 51.388888888888886,1
10959.Sophie_s_World,Jostein Gaarder,Jostein Gaarder,Oslo,59.913333333333334 10.738888888888889,1
1215032.The_Wise_Man_s_Fear,Patrick Rothfuss,Patrick Rothfuss,"Madison, Wisconsin",43.07472222222222 -89.38416666666667,1
58345.The_Awakening,Kate Chopin,Kate Chopin,St. Louis,38.62722222222222 -90.19777777777777,1
16068905-fangirl,Rainbow Rowell,Rainbow Rowell,,,2
228560.Sophie_s_Choice,William Styron,William Styron,"Newport News, Virginia",37.07083333333333 -76.48444444444445,1
16735.The_Prince_of_Tides,Pat Conroy,Pat Conroy,Georgia (U.S. state),33.0 -83.0,1
6334.Never_Let_Me_Go,Kazuo Ishiguro,Kazuo Ishiguro,Nagasaki,32.74472222222222 129.8736111111111,1
9520360-the-son-of-neptune,Rick Riordan,Rick Riordan,"San Antonio, Texas",,1
301082.Dead_Until_Dark,Charlaine Harris,Charlaine Harris,"Tunica, Mississippi",34.68888888888889 -90.38055555555556,1
9375.Fried_Green_Tomatoes_at_the_Whistle_Stop_Cafe,Fannie Flagg,Fannie Flagg,"Birmingham, Alabama",33.5175 -86.80944444444444,1
11857408-fifty-shades-darker,E. L. James,E.L. James,London,51.507222222222225 -0.1275,2
9969571-ready-player-one,Ernest Cline,Ernest Cline,"Ashland, Ohio",40.86694444444444 -82.31527777777778,1
19089.Middlemarch,George Eliot,George Eliot,England,51.5 -0.11666666666666667,1
44186.The_Monster_at_the_End_of_this_Book,Jon Stone,Jon Stone,,,2
17927395-a-court-of-mist-and-fury,Sarah J. Maas,Sarah J. Maas,,,2
227443.Bridget_Jones_s_Diary,Helen Fielding,Helen Fielding,"Morley, West Yorkshire",53.749166 -1.602263,1
14942.Mrs_Dalloway,Virginia Woolf,Virginia Woolf,London,51.507222222222225 -0.1275,1
7260188-mockingjay,Suzanne Collins,Suzanne Collins,"Hartford, Connecticut",41.7625 -72.67416666666666,1
