bookId,new_author,clean_author,birthplace,latlong,author_used
6978605-body-and-soul,Arnold Bennett,Jordan Castillo Price,"Hanley, Staffordshire",,2
17504941-empty-net,Roberta Ulrich,Toni Aleo,,,2
10755443-vindicated,Mary Wollstonecraft,Keary Taylor,,,2
23404.Regarding_the_Fountain,Kate Klise,Kate Klise,"Peoria, Illinois",40.69365 -89.58899,1
8100979-mercy-blade,Faith Hunter,Faith Hunter,,,2
10178549-bright-s-passage,Josh Ritter,Josh Ritter,"Moscow, Idaho",46.73 -117.0,1
9470371-love-story,Sir Max Beerbohm,Jennifer Echols,,,2
18078028-high-heat,Tim Wendel,Lee Child,Coventry,52.408055555555556 -1.5105555555555554,1
1309025.Dreaming_the_Eagle,Manda Scott,Manda Scott,Glasgow,55.861111111111114 -4.25,1
174357.Over_the_Edge,Laurence Bergreen,Suzanne Brockmann,,,2
17452343-playing-with-her-heart,,Lauren Blakely,,,2
1778693.King_s_Property,Morgan Howell,Morgan Howell,,,2
89356.Cherish,Richard Shenkman,Catherine Anderson,United States,38.88333333333333 -77.01666666666667,1
12722468-elizabeth-the-queen,,Sally Bedell Smith,"Bryn Mawr, Pennsylvania",40.02111111111111 -75.31694444444445,1
17907518-rare-and-precious-things,Raine Miller,Raine Miller,,,2
8460524-padang-bulan,Evi Henny Julia G.,Andrea Hirata,,,2
107029.The_Batman_Chronicles_Vol_1,,Bill Finger,,,2
28482.The_Hand_of_Chaos,Margaret Weis,Margaret Weis,"Independence, Missouri",39.07972222222222 -94.40666666666667,1
20320531-the-ex-games,Jennifer Echols,J.S. Cooper,,,2
397874.Creed,John Pearson,James Herbert,,,2
17898228-watch-over-me,Judith McNaught,Tara Sivec,California,35.491035 -119.347852,2
18138917-trouble,Golden Books,Non Pratt,,,2
11060837-the-revenge-of-the-dwarves,,Markus Heitz,"Homburg, Saarland",49.31666666666667 7.333333333333333,1
17265216-star-wars,Kevin J. Anderson,Jeffrey Brown,"Racine, Wisconsin",42.72611111111111 -87.80583333333334,2
18247580-winters-heat,Darlene Gardner,Cristin Harber,,,2
16101515-vortex,Clive Cussler,S.J. Kincaid,"Aurora, Illinois",41.763888888888886 -88.29,2
20488175-the-atopia-chronicles,Matthew Mather,Matthew Mather,United Kingdom,51.5 -0.11666666666666667,1
6414515-the-foundling,Georgette Heyer,Georgette Heyer,,,2
7736086-the-lightning-thief,,Rick Riordan,"San Antonio, Texas",,1
17239876-after-dead,,Charlaine Harris,"Tunica, Mississippi",34.68888888888889 -90.38055555555556,1
20531847-interior-castle,Teresa of Avila,Teresa of Ávila,Crown of Castile,40.4175 -3.715,1
762727.Beasts,Saki,Joyce Carol Oates,"Lockport (city), New York",43.16972222222222 -78.69111111111111,1
18626680-all-the-pretty-lies,,Michelle Leighton,,,2
3143472-our-magnificent-bastard-tongue,John H. McWhorter,John McWhorter,,,2
18857004-lie-next-to-me,Sandi Lynn,Sandi Lynn,,,2
17162435-monsters,Karim Ouaziry,Ilsa J. Bick,,,2
43996.Dead_Sleep,Greg Iles,Greg Iles,Stuttgart,48.7775 9.18,1
68396.The_Halfling_s_Gem,R. A. Salvatore,R.A. Salvatore,"Leominster, Massachusetts",42.525 -71.76027777777777,2
