50,23772.Green_Eggs_and_Ham,Dr. Seuss,Dr. Seuss,"Springfield, Massachusetts",42.10138888888889 -72.59027777777777,1
51,1381.The_Odyssey,Όμηρος,Homer,,,2
52,4214.Life_of_Pi,Yann Martel,Yann Martel,Salamanca,40.96666666666667 -5.666666666666667,1
53,1953.A_Tale_of_Two_Cities,Charles Dickens,Charles Dickens,Portsmouth,50.80583333333333 -1.0872222222222223,1
54,43641.Water_for_Elephants,Sara Gruen,Sara Gruen,Vancouver,49.26111111111111 -123.1138888888889,1
55,7604.Lolita,Vladimir Nabokov,Vladimir Nabokov,Russian Empire,,1
56,4981.Slaughterhouse_Five,Kurt Vonnegut,Kurt Vonnegut Jr.,Indianapolis,39.76861111111111 -86.15805555555555,2
57,35031085-frankenstein,Mary Wollstonecraft Shelley,Mary Wollstonecraft Shelley,,,2
58,3636.The_Giver,Lois Lowry,Lois Lowry,Honolulu,21.306944444444444 -157.85833333333332,1
59,168668.Catch_22,Joseph Heller,Joseph Heller,Brooklyn,40.69277777777778 -73.99027777777778,1
60,44767458-dune,Frank Herbert,Frank Herbert,"Tacoma, Washington",47.24138888888889 -122.45944444444444,1
61,149267.The_Stand,Stephen King,Stephen King,Maine,45.0 -69.0,1
62,76620.Watership_Down,Richard Adams,Richard Adams,"Newbury, Berkshire",51.401 -1.323,1
63,2623.Great_Expectations,Charles Dickens,Charles Dickens,Portsmouth,50.80583333333333 -1.0872222222222223,1
64,1934.Little_Women,Louisa May Alcott,Louisa May Alcott,"Germantown, Philadelphia",40.043 -75.181,1
65,136251.Harry_Potter_and_the_Deathly_Hallows,J. K. Rowling,J.K. Rowling,Yate,51.5402 -2.410989,2
66,10964.Outlander,Diana Gabaldon,Diana Gabaldon,"Scottsdale, Arizona",33.49305555555556 -111.92611111111111,1
67,10917.My_Sister_s_Keeper,Jodi Picoult,Jodi Picoult,"Nesconset, New York",40.846111111111114 -73.15055555555556,1
68,39988.Matilda,Roald Dahl,Roald Dahl,Cardiff,51.48166666666667 -3.1791666666666667,1
69,3263607-the-fellowship-of-the-ring,J.R.R. Tolkien,J.R.R. Tolkien,,,2
70,17899948-rebecca,Daphne du Maurier,Daphne du Maurier,,,2
71,40961427-1984,Peru,George Orwell,Bengal Presidency,22.566 88.3464,1
72,52892857-the-color-purple,Alice Walker,Alice Walker,"Eatonton, Georgia",33.326388888888886 -83.38777777777777,1
73,14891.A_Tree_Grows_in_Brooklyn,Betty Smith,Betty Smith,Brooklyn,40.69277777777778 -73.99027777777778,1
74,41817486-a-clockwork-orange,Anthony Burgess,Anthony Burgess,England,51.5 -0.11666666666666667,1
75,6288.The_Road,Jack Kerouac,Cormac McCarthy,"Providence, Rhode Island",41.82361111111111 -71.42222222222222,1
76,4934.The_Brothers_Karamazov,Fyodor Dostoyevsky,Fyodor Dostoyevsky,,,2
77,252577.Angela_s_Ashes,Frank McCourt,Frank McCourt,Brooklyn,40.69277777777778 -73.99027777777778,1
78,345627.Vampire_Academy,Richelle Mead,Richelle Mead,Michigan,44.0 -85.0,1
79,7244.The_Poisonwood_Bible,Barbara Kingsolver,Barbara Kingsolver,"Annapolis, Maryland",38.973055555555554 -76.50111111111111,1
80,119322.The_Golden_Compass,Stéphane Melchior-Durand,Philip Pullman,Norwich,52.63 1.297,1
81,3836.Don_Quixote,Miguel de Cervantes Saavedra,Miguel de Cervantes Saavedra,,,2
82,662.Atlas_Shrugged,Ayn Rand,Ayn Rand,Russian Empire,,1
83,5.Harry_Potter_and_the_Prisoner_of_Azkaban,J. K. Rowling,J.K. Rowling,Yate,51.5402 -2.410989,2
84,2165.The_Old_Man_and_the_Sea,Ernest Hemingway,Ernest Hemingway,"Oak Park, Illinois",41.888333333333335 -87.78944444444444,1
85,33648131-the-notebook,Nicholas Sparks,Nicholas Sparks,"Omaha, Nebraska",41.25861111111111 -95.9375,1
86,99107.Winnie_the_Pooh,A. A. Milne,A.A. Milne,"Kilburn, London",51.5366 -0.2039,2
87,23919.The_Complete_Stories_and_Poems,Edgar Allan Poe,Edgar Allan Poe,Boston,42.360277777777775 -71.05777777777777,1
88,43763.Interview_with_the_Vampire,Anne Rice,Anne Rice,"New Orleans, Louisiana",,1
89,4473.A_Prayer_for_Owen_Meany,John Irving,John Irving,"Exeter, New Hampshire",42.98138888888889 -70.94777777777777,1
90,153747.Moby_Dick_or_the_Whale,Herman Herman Melville,Herman Melville,New York City,40.71277777777778 -74.00611111111111,1
91,4989.The_Red_Tent,Anita Diamant,Anita Diamant,,,2
92,37435.The_Secret_Life_of_Bees,Sue Monk Kidd,Sue Monk Kidd,"Sylvester, Georgia",31.531388888888888 -83.83611111111111,1
93,7171637-clockwork-angel,Kevin J. Anderson,Cassandra Clare,Tehran,35.689166666666665 51.388888888888886,1
94,16299.And_Then_There_Were_None,Agatha Christie,Agatha Christie,Devon,50.71666666666667 -3.716666666666667,1
95,2187.Middlesex,Jeffrey Eugenides,Jeffrey Eugenides,Detroit,42.33138888888889 -83.04583333333333,1
96,117833.The_Master_and_Margarita,Mikhail Afanasyevich Bulgakov,Mikhail Bulgakov,Russian Empire,,1
97,186074.The_Name_of_the_Wind,Patrick Rothfuss,Patrick Rothfuss,"Madison, Wisconsin",43.07472222222222 -89.38416666666667,1
98,11588.The_Shining,Stephen King,Stephen King,Maine,45.0 -69.0,1
99,24583.The_Adventures_of_Tom_Sawyer,Mark Twain,Mark Twain,"Florida, Missouri",39.49166666666667 -91.79,1
100,113436.Eragon,Christopher Paolini,Christopher Paolini,California,35.491035 -119.347852,1
101,6310.Charlie_and_the_Chocolate_Factory,Roald Dahl,Roald Dahl,Cardiff,51.48166666666667 -3.1791666666666667,1
102,70401.On_the_Road,Jack Kerouac,Jack Kerouac,"Lowell, Massachusetts",42.63944444444444 -71.31472222222222,1
103,1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,Mark Haddon,Mark Haddon,"Northampton, Northamptonshire",,1
104,4948.The_Very_Hungry_Caterpillar,Eric Carle,Eric Carle,"Syracuse, New York",43.04694444444444 -76.14444444444445,1
105,6900.Tuesdays_with_Morrie,Mitch Albom,Mitch Albom,"Passaic, New Jersey",40.857552 -74.129089,1
106,9717.The_Unbearable_Lightness_of_Being,Malcolm Pryce,Milan Kundera,Brno,49.1925 16.608333333333334,1
107,119073.The_Name_of_the_Rose,Christine E. Blum,Umberto Eco,Alessandria,44.916666666666664 8.616666666666667,1
108,10365.Where_the_Red_Fern_Grows,Wilson Rawls,Wilson Rawls,"Scraper, Oklahoma",,1
109,15881.Harry_Potter_and_the_Chamber_of_Secrets,J. K. Rowling,J.K. Rowling,Yate,51.5402 -2.410989,2
110,12296.The_Scarlet_Letter,Nathaniel Hawthorne,Nathaniel Hawthorne,"Salem, Massachusetts",42.519444444444446 -70.89722222222223,1
111,168642.In_Cold_Blood,Truman Capote,Truman Capote,New Orleans,29.95 -90.08,1
112,36236124-fight-club,Chuck Palahniuk,Chuck Palahniuk,"Pasco, Washington",46.23861111111111 -119.10861111111112,1
113,3431.The_Five_People_You_Meet_in_Heaven,Mitch Albom,Mitch Albom,"Passaic, New Jersey",40.857552 -74.129089,1
114,6339664-hush-hush,William Le Queux,Becca Fitzpatrick,London,51.507222222222225 -0.1275,2
115,233093.The_Cat_in_the_Hat,Dr. Seuss,Dr. Seuss,"Springfield, Massachusetts",42.10138888888889 -72.59027777777777,1
116,7126.The_Count_of_Monte_Cristo,Jim Weiss,Alexandre Dumas,Villers-Cotterêts,49.26 3.0906,1
117,256008.Lonesome_Dove,Larry McMurtry,Larry McMurtry,"Archer City, Texas",33.594166666666666 -98.62638888888888,1
118,343.Perfume,,Patrick Süskind,Bavaria,49.07861111111111 11.385555555555555,1
119,38709.Holes,Louis Sachar,Louis Sachar,"East Meadow, New York",40.71361111111111 -73.55583333333334,1
120,472331.Watchmen,Alan Moore,Alan Moore,Northampton,52.2303748 -0.8937527,1
121,830502.It,Mark Twain,Stephen King,Maine,45.0 -69.0,1
122,4556058-the-last-olympian,Rick Riordan,Rick Riordan,"San Antonio, Texas",,1
123,6656.The_Divine_Comedy,Dante Alighieri,Dante Alighieri,Republic of Florence,43.769444444444446 11.25611111111111,1
124,34268.Peter_Pan,J. M. Barrie,J.M. Barrie,"Angus, Scotland",56.666666666666664 -2.9166666666666665,2
125,355697.All_Quiet_on_the_Western_Front,Erich Maria Remarque,Erich Maria Remarque,German Empire,52.516666666666666 13.4,1
126,5907.The_Hobbit_or_There_and_Back_Again,,J.R.R. Tolkien,,,2
127,1423.The_Compleat_Works_of_Wllm_Shkspr,,Reduced Shakespeare Company,,,2
128,9712.Love_in_the_Time_of_Cholera,Mike Newell,Gabriel García Márquez,Aracataca,10.593694444444445 -74.19280833333333,1
129,2802316-shadow-kiss,Laurell K. Hamilton,Richelle Mead,Michigan,44.0 -85.0,1
130,11735983-insurgent,John Reed,Veronica Roth,New York City,40.71277777777778 -74.00611111111111,1
131,113946.How_the_Grinch_Stole_Christmas_,Dr. Seuss,Dr. Seuss,"Springfield, Massachusetts",42.10138888888889 -72.59027777777777,1
132,13.The_Ultimate_Hitchhiker_s_Guide_to_the_Galaxy,Douglas Adams,Douglas Adams,Cambridge,52.20527777777778 0.11916666666666667,1
133,6867.Atonement,Ian McEwan,Ian McEwan,Aldershot,51.248333333333335 -0.7613888888888888,1
134,92303.The_Importance_of_Being_Earnest,Oscar Wilde,Oscar Wilde,Dublin,53.35 -6.260277777777778,1
135,19501.Eat_Pray_Love,Elizabeth Gilbert,Elizabeth Gilbert,"Waterbury, Connecticut",41.556111111111115 -73.04138888888889,1
136,37415.Their_Eyes_Were_Watching_God,Zora Neale Hurston,Zora Neale Hurston,"Notasulga, Alabama",32.560833333333335 -85.6675,1
137,236093.The_Wonderful_Wizard_of_Oz,L. Frank Baum,L. Frank Baum,"Chittenango, New York",43.045833333333334 -75.87388888888889,1
138,32929.Goodnight_Moon,Margaret Wise Brown,Margaret Wise Brown,Brooklyn,40.69277777777778 -73.99027777777778,1
139,7784.The_Lorax,Dr. Seuss,Dr. Seuss,"Springfield, Massachusetts",42.10138888888889 -72.59027777777777,1
140,5996153-blood-promise,Brian McClellan,Richelle Mead,Michigan,44.0 -85.0,1
141,1078.The_Good_Earth,Pearl S. Buck,Pearl S. Buck,"Hillsboro, West Virginia",38.13805555555555 -80.2125,1
142,4900.Heart_of_Darkness,Joseph Conrad,Joseph Conrad,Berdychiv,49.9 28.566666666666666,1
143,1622.A_Midsummer_Night_s_Dream,William Shakespeare,William Shakespeare,Stratford-upon-Avon,52.19277777777778 -1.7063888888888887,1
144,18335634-clockwork-princess,Cassandra Clare,Cassandra Clare,Tehran,35.689166666666665 51.388888888888886,1
145,2547.The_Prophet,Kahlil Gibran,Kahlil Gibran,Mount Lebanon Mutasarrifate,,1
146,40605251-the-mists-of-avalon,Marion Zimmer Bradley,Marion Zimmer Bradley,United States,38.88333333333333 -77.01666666666667,1
147,561456.The_Titan_s_Curse,Rick Riordan,Rick Riordan,"San Antonio, Texas",,1
148,28186.The_Sea_of_Monsters,Rick Riordan,Rick Riordan,"San Antonio, Texas",,1
149,7763.The_Joy_Luck_Club,Amy Tan,Amy Tan,"Oakland, California",37.80444444444444 -122.27083333333333,1
150,13023.Alice_in_Wonderland,Lewis Carroll,Jane Carruth,Daresbury,53.3402 -2.6332,2
151,1852.The_Call_of_the_Wild,Jack London,Jack London,California,35.491035 -119.347852,1
152,71728.Jonathan_Livingston_Seagull,Richard Bach,Richard Bach,"Oak Park, Illinois",41.888333333333335 -87.78944444444444,1
153,2175.Madame_Bovary,Gustave Flaubert,Gustave Flaubert,Rouen,49.44277777777778 1.0886111111111112,1
154,378.The_Phantom_Tollbooth,Norton Juster,Norton Juster,"Brooklyn, New York",,1
155,40940121-bridge-to-terabithia,Katherine Paterson,Katherine Paterson,Huai'an,33.551 119.113,1
156,7938275-the-hunger-games-trilogy-boxset,,Suzanne Collins,"Hartford, Connecticut",41.7625 -72.67416666666666,1
157,191139.Oh_the_Places_You_ll_Go_,Dr. Seuss,Dr. Seuss,"Springfield, Massachusetts",42.10138888888889 -72.59027777777777,1
158,5060378-the-girl-who-played-with-fire,Stieg Larsson,Stieg Larsson,,,2
159,6186357-the-maze-runner,James Dashner,James Dashner,"Austell, Georgia",33.81583333333333 -84.6361111111111,1
160,27712.The_Neverending_Story,Michael Ende,Michael Ende,Garmisch-Partenkirchen,47.5 11.083333333333334,1
161,295.Treasure_Island,Robert Louis Stevenson,Robert Louis Stevenson,Edinburgh,55.95333333333333 -3.1891666666666665,1
162,10818853-fifty-shades-of-grey,E. L. James,E.L. James,London,51.507222222222225 -0.1275,2
163,40611463-the-clan-of-the-cave-bear,Jean M. Auel,Jean M. Auel,Chicago,41.88194444444444 -87.62777777777778,1
164,62291.A_Storm_of_Swords,George R. R. Martin,George R.R. Martin,"Bayonne, New Jersey",40.66253 -74.110192,2
165,2696.The_Canterbury_Tales,Geoffrey Chaucer,Geoffrey Chaucer,London,51.507222222222225 -0.1275,1
166,7069.The_World_According_to_Garp,John Irving,John Irving,"Exeter, New Hampshire",42.98138888888889 -70.94777777777777,1
167,10799.A_Farewell_to_Arms,Ernest Hemingway,Ernest Hemingway,"Oak Park, Illinois",41.888333333333335 -87.78944444444444,1
168,6350972-tote-m-dchen-l-gen-nicht,Imported by Yulo inc.,Jay Asher,"Arcadia, California",34.132777777777775 -118.0363888888889,1
169,37442.Wicked,,Gregory Maguire,"Albany, New York",42.6525 -73.75722222222223,1
170,402093.Sh_gun,James Clavell,James Clavell,,,2
171,4588.Extremely_Loud_Incredibly_Close,Jonathan Safran Foer,Jonathan Safran Foer,"Washington, D.C.",38.90472222222222 -77.01638888888888,1
172,853510.Murder_on_the_Orient_Express,Agatha Christie,Agatha Christie,Devon,50.71666666666667 -3.716666666666667,1
173,18116.His_Dark_Materials,Philip Pullman,Philip Pullman,Norwich,52.63 1.297,1
174,3008.A_Little_Princess,Frances Hodgson Burnett,Frances Hodgson Burnett,Manchester,53.47944444444445 -2.245277777777778,1
175,375013.Schindler_s_List,Thomas Keneally,Thomas Keneally,Sydney,-33.867777777777775 151.21,1
176,40604658-jurassic-park,Michael Crichton,Michael Crichton,Chicago,41.88194444444444 -87.62777777777778,1
177,6527740-last-sacrifice,Richelle Mead,Richelle Mead,Michigan,44.0 -85.0,1
178,9361589-the-night-circus,Erin Morgenstern,Erin Morgenstern,,,2
179,6487308-fallen,V. C. Andrews,Lauren Kate,"Dayton, Ohio",39.75944444444445 -84.19166666666666,1
180,7332.The_Silmarillion,J.R.R. Tolkien,J.R.R. Tolkien,,,2
181,514811.The_Secret_Magdalene,Ki Longfellow,Ki Longfellow,"Staten Island, New York",,1
182,6149.Beloved,Toni Morrison,Toni Morrison,"Lorain, Ohio",41.44833333333333 -82.16888888888889,1
183,310612.A_Confederacy_of_Dunces,John Kennedy Toole,John Kennedy Toole,Louisiana,31.0 -92.0,1
184,10507293-the-selection,Charles Darwin,Kiera Cass,"Myrtle Beach, South Carolina",33.744075 -78.869475,1
185,144974.The_Velveteen_Rabbit,Margery Williams Bianco,Margery Williams Bianco,,,2
186,6148028-catching-fire,Suzanne Collins,Suzanne Collins,"Hartford, Connecticut",41.7625 -72.67416666666666,1
187,7736182-the-lost-hero,Rick Riordan,Rick Riordan,"San Antonio, Texas",,1
188,6479259-spirit-bound,Christine Feehan,Richelle Mead,Michigan,44.0 -85.0,1
189,10025305-clockwork-prince,Heather Lind,Cassandra Clare,Tehran,35.689166666666665 51.388888888888886,1
190,1375.The_Iliad_The_Odyssey,Homer,Homer,,,2
191,17250.The_Crucible,Arthur Miller,Arthur Miller,Manhattan,40.78333333333333 -73.96666666666667,1
192,135479.Cat_s_Cradle,Kurt Vonnegut,Kurt Vonnegut Jr.,Indianapolis,39.76861111111111 -86.15805555555555,2
193,9777.The_God_of_Small_Things,Arundhati Roy,Arundhati Roy,,,2
194,5659.The_Wind_in_the_Willows,Kenneth Grahame,Kenneth Grahame,Edinburgh,55.95333333333333 -3.1891666666666665,1
195,8130077-the-screwtape-letters,C. S. Lewis,C.S. Lewis,Belfast,54.59638888888889 -5.93,2
196,2865.Girl_with_a_Pearl_Earring,Tracy Chevalier,Tracy Chevalier,"Washington, D.C.",38.90472222222222 -77.01638888888888,1
197,561909.The_Hiding_Place,"orrieTenBoom,",Corrie ten Boom,Haarlem,52.38333333333333 4.633333333333333,1
198,30118.A_Light_in_the_Attic,Shel Silverstein,Shel Silverstein,Chicago,41.88194444444444 -87.62777777777778,1
199,23807.The_Silence_of_the_Lambs,Thomas Harris,Thomas Harris,"Jackson, Tennessee",35.614444444444445 -88.81388888888888,1
200,6068551-shiver,Eleanor Alice Burford Hibbert,Maggie Stiefvater,"Harrisonburg, Virginia",38.449444444444445 -78.86888888888889,1
201,24770.Uglies,Hans Christian Andersen,Scott Westerfeld,Dallas,32.77916666666667 -96.80888888888889,1
202,6752378-city-of-fallen-angels,Cassandra Clare,Cassandra Clare,Tehran,35.689166666666665 51.388888888888886,1
203,4069.Man_s_Search_for_Meaning,Viktor E. Frankl,Viktor E. Frankl,,,2
204,5203.She_s_Come_Undone,Wally Lamb,Wally Lamb,"Norwich, Connecticut",41.55027777777778 -72.0875,1
205,480204.The_Phantom_of_the_Opera,Gaston Leroux,Gaston Leroux,Paris,48.856613 2.352222,1
206,12691.Marley_and_Me,,John Grogan,Detroit,42.33138888888889 -83.04583333333333,1
207,24337.Ella_Enchanted,Gail Carson Levine,Gail Carson Levine,"New York, New York",,1
208,11275.The_Wind_Up_Bird_Chronicle,Haruki Murakami,Haruki Murakami,"Fushimi-ku, Kyoto",34.93611111111111 135.7613888888889,1
209,11566.The_Green_Mile,Stephen King,Stephen King,Maine,45.0 -69.0,1
210,40495148-blindness,Edward Phillips Oppenheim,José Saramago,Azinhaga,39.347 -8.532,1
211,10572.A_Clash_of_Kings,George R. R. Martin,George R.R. Martin,"Bayonne, New Jersey",40.66253 -74.110192,2
212,40874325-the-shack,C. Baxter Kruger,William Paul Young,,,2
213,30183.Marked,R. Austin Freeman,P.C. Cast,England,51.5 -0.11666666666666667,2
214,39832183-the-guernsey-literary-and-potato-peel-pie-society,Mary Ann Shaffer,Mary Ann Shaffer,,,2
215,7745.Fear_and_Loathing_in_Las_Vegas,Hunter S. Thompson,Hunter S. Thompson,"Louisville, Kentucky",38.25611111111111 -85.75138888888888,1
216,9328.The_House_of_the_Spirits,Karen Wooley Martin,Isabel Allende,Peru,-12.043333333333333 -77.02833333333334,1
